cancer_entity_verbose	count	Tissue
adrenal_gland_adrenal_cortical_adenoma_aldosterone_producing	117	Adrenal gland
adrenal_gland_adrenal_cortical_adenoma_cortisol_producing	975	Adrenal gland
adrenal_gland_adrenal_cortical_adenoma_non_functioning	142	Adrenal gland
adrenal_gland_adrenal_cortical_adenoma_NS	1236	Adrenal gland
adrenal_gland_adrenal_cortical_adenoma_virilizing_syndrome_producing	6	Adrenal gland
adrenal_gland_adrenal_cortical_carcinoma_cortisol_and_virilizing_syndrome-producing	30	Adrenal gland
adrenal_gland_adrenal_cortical_carcinoma_functioning	2213	Adrenal gland
adrenal_gland_adrenal_cortical_carcinoma_non_functioning	244	Adrenal gland
adrenal_gland_adrenal_cortical_carcinoma_virilizing_syndrome_producing	317	Adrenal gland
adrenal_gland_adrenal_cortical_hyperplasia_NS	57	Adrenal gland
adrenal_gland_adrenal_cortical_neoplasm_aldosterone_producing	3	Adrenal gland
adrenal_gland_adrenal_cortical_neoplasm_cortisol_and_virilizing_syndrome-producing	6	Adrenal gland
adrenal_gland_adrenal_cortical_neoplasm_virilizing_syndrome_producing	15	Adrenal gland
adrenal_gland_other_oncocytoma	33	Adrenal gland
adrenal_gland_pheochromocytoma_benign	250	Adrenal gland
adrenal_gland_pheochromocytoma_malignant	69	Adrenal gland
adrenal_gland_pheochromocytoma_NS	119	Adrenal gland
autonomic_ganglia_ganglioneuroblastoma_NS	23	Other
autonomic_ganglia_neuroblastoma_NS	6876	Other
autonomic_ganglia_olfactory_neuroblastoma_NS	39	Other
autonomic_ganglia_paraganglioma_benign	52	Other
biliary_tract_carcinoma_adenocarcinoma	12611	Biliary tract
biliary_tract_carcinoma_NS	28093	Biliary tract
bone_chondrosarcoma_central	757	Bone
bone_chondrosarcoma_dedifferentiated	615	Bone
bone_chondrosarcoma_NS	15	Bone
bone_chondrosarcoma_peripheral	139	Bone
bone_chondrosarcoma_synovial	9	Bone
bone_Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour_NS	15653	Bone
bone_osteosarcoma_chondroblastic	37	Bone
bone_osteosarcoma_fibroblastic	70	Bone
bone_osteosarcoma_mixed	71	Bone
bone_osteosarcoma_NS	4602	Bone
