	0	P1	N1	N2	P9	N3	N4	N5	P2	P5
C.A.in.ACA	0.0192880684687752	0.017551826311383	0.00651896441840047	0.0026892095733286	0.0559321314444085	0.0321453866785243	0.00753063149191827	0.00702176439611365	0.0009968757852222	0.00269863050541291
C.A.in.ACC	0.0145483933801621	0.0106001633643352	0.00528571454721303	0.00192353842296322	0.0103493803455422	0.0176690161343814	0.0267139164562487	0.00232231330519507	0.00092709079037446	0.00214928276216249
C.A.in.ACG	0.00509344053181344	0.00222953399638524	0.000602742647988583	0.000339360897670722	0.00310523879007864	0.00947694511379804	0.00207619563102686	0.000521239886308641	0.000857209614585541	0.00092312526735129
C.A.in.ACT	0.0112891173120843	0.0090793530158553	0.00348342422281567	0.00233841699898714	0.0206077003261355	0.0206756935895296	0.0102072619378101	0.00700608237548839	0.00120261150481577	0.00129696519789102
C.A.in.CCA	0.0138545240056243	0.0109321920605701	0.00715135912241931	0.00242369712251492	0.0447484211477535	0.0248104691736817	0.0172947940587925	0.00285179628768867	0.0010832785566588	0.00214436977289845
C.A.in.CCC	0.0105903349992866	0.00659357067822553	0.00447322337536672	0.000900962382546716	0.0141478924173117	0.0145828723541543	0.0304613622063781	0.00425881744648276	0.00132368750411246	0.00283589954597003
C.A.in.CCG	0.00476045895981273	0.00171296374952919	0.000670098257151367	0.000213111948625763	0.0064813803830954	0.00328399830680412	0.0039261720663688	0.00103726496438551	0.000797228811808999	0.000642661124769677
C.A.in.CCT	0.00779555050874716	0.00782153700032674	0.00468665430909986	0.0015462775604798	0.0265290418727902	0.0166433582084403	0.0130752340110352	0.00357142405456822	0.00117547770127587	0.00120400940744091
C.A.in.GCA	0.00896820537576692	0.0170163765825182	0.00569331619070874	0.00104383124472098	0.108057484146329	0.00722793927300457	0.00472173721862065	0.00900343678218847	0.000884921799147395	0.00194266621845579
C.A.in.GCC	0.00816432946486741	0.0072501848587068	0.00300340205901005	0.0013996229158359	0.0184619866053271	0.00625169002117626	0.0313486992703658	0.00218654959569352	0.000784617471303834	0.000947673848170157
C.A.in.GCG	0.00498418420183964	0.00262348513251739	0.000901510990307445	0.000268680394135094	0.00729454787308506	0.00170580226209363	0.00125042110717682	0.00104428213473059	0.000513373571462779	0.000580446277327485
C.A.in.GCT	0.00642919921178803	0.00959891631656156	0.00374508854058466	0.00113242749975813	0.0617558618806078	0.00759195468282293	0.00742095945308528	0.00542502618412271	0.000851214339479313	0.000916865637538915
C.A.in.TCA	0.0140109366539546	0.014962414985563	0.00559190229806217	0.00133419964815901	0.0834689781145226	0.0160495697999972	0.00321888932097324	0.0145000656612196	0.00165274985861976	0.0634371713574661
C.A.in.TCC	0.0171634033318089	0.0133066038478072	0.00482425968104543	0.00182031382930904	0.0537538623591573	0.0171422178908585	0.00803401411472917	0.00622471924986189	0.000864956162526601	0.0245478827763056
C.A.in.TCG	0.00415891901471514	0.00309932601476759	0.00080307575920283	0.000426200361935547	0.0100221862254238	0.00197901632792123	0.00188167493129051	0.000718482221281105	0.00119456215571775	0.0111851198522359
C.A.in.TCT	0.015741837531464	0.0200620606402706	0.00686923018928518	0.00324508651923049	0.127151221618029	0.0189240772485438	0.00385102626214437	0.013807010119276	0.000943068021142369	0.0362321500098705
C.G.in.ACA	0.0104176668342002	0.00508351580857207	0.00205881838661146	0.00182891546941493	0.00315347549975493	0.0148192459100389	0.00301027653955222	0.00426495093134332	0.000868459724630433	0.00471296967393832
C.G.in.ACC	0.00736700235511683	0.00289489552736871	0.0014604937374462	0.000985178198755388	0.00274701678358796	0.00597886497914944	0.00293890018248214	0.00226408245554751	0.000593211981626496	0.00130492635241215
C.G.in.ACG	0.00262081468270483	0.000819127755926259	0.00027501406014459	0.000239088222039835	0.00151297399565124	0.00591327058066022	0.00110681598014033	0.000491075684851039	0.000909791185274083	0.000744718697066016
C.G.in.ACT	0.0114959498300128	0.00458576425299508	0.00177955278731483	0.00131797008447349	0.00357192211612868	0.011016596287313	0.00253975074569564	0.00309201716767052	0.0010517866270177	0.00527301440559611
C.G.in.CCA	0.00735411714118795	0.00236547128886895	0.00232956616928076	0.00128472457416994	0.00230803814115859	0.0151038372836057	0.00144397728549545	0.00388931753911643	0.00104740986899753	0.00852617514425671
C.G.in.CCC	0.00722818797228135	0.00226324143734255	0.0014564587704664	0.000946215678840956	0.00431510454286413	0.0105504773886114	0.00991238253595103	0.0021108793463499	0.00102758671579974	0.00216271554959708
C.G.in.CCG	0.00322338099052265	0.000790203549686367	0.000398309365784719	0.000355223575604225	0.00241940669279669	0.00408339414400701	0.00359980662447027	0.000752069589547155	0.00145089404841214	0.00123717819881805
C.G.in.CCT	0.0123260576356328	0.00375086376872565	0.00199693008195188	0.0012062423837924	0.00340812320495628	0.0158024813916524	0.00433225849428042	0.00483382649402947	0.000884226442550092	0.00575762922154068
C.G.in.GCA	0.00487821147207762	0.00193004151676081	0.000913746670176036	0.00109617483863094	0.00133539761037056	0.00647808345671322	0.00368802634062744	0.0027354381725024	0.00129269968340549	0.00435129180611704
C.G.in.GCC	0.00536547025865643	0.00202331220490482	0.000905657344220599	0.000608581501856588	0.00398628456284885	0.00460894436081161	0.00731791106166055	0.00161401699694687	0.000697171717860767	0.000815258792618008
C.G.in.GCG	0.00168888584105126	0.00043702853318634	0.000162911153533751	0.000138236276616602	0.00109089061799743	0.00205917559284714	0.00207326265711746	0.000998993946978618	0.000415682157521802	0.00028252128166378
C.G.in.GCT	0.00656146910755429	0.00239243053741785	0.00114984263019287	0.00063600906487031	0.00271724395577158	0.00577988728940724	0.00150081652882377	0.00366697338829843	0.00113864606127628	0.00506653534344805
C.G.in.TCA	0.0105051502497815	0.00358978751976688	0.00239727615377476	0.00115798519786993	0.00452753741913909	0.0220498741153242	0.00204302277149919	0.00636516496361346	0.00105619457045672	0.298113132681767
C.G.in.TCC	0.00931693012910561	0.00301636566377711	0.00160753176765772	0.000965827461145976	0.00656452414848241	0.0164334765058266	0.00576961145676251	0.00592085399849936	0.000889234917236012	0.0497393577418507
C.G.in.TCG	0.00209685404026348	0.000543689867789918	0.000217386488442725	0.00028925651355322	0.00177524220643522	0.00355636186577286	0.000514134181367905	0.000530800380069235	0.000556888337630074	0.00929148344917663
C.G.in.TCT	0.0173852077650593	0.0075041837165208	0.00410752672787309	0.0029326879909482	0.0059989363901056	0.0259978204003637	0.00744904442148865	0.0181950920406071	0.00226152583496077	0.352551543374526
C.T.in.ACA	0.0250719439491223	0.0195659615697329	0.00618444971619659	0.00532899543410219	0.00624145413129133	0.0487301085801269	0.0081268118323852	0.0232760695939384	0.00112986291342698	0.00805577035516093
C.T.in.ACC	0.0154104352674803	0.0134098820031998	0.00441432001017176	0.00235290639805259	0.00351576991544183	0.0135730872838309	0.0451105233796807	0.00627538749909114	0.00177323161016295	0.000761659955464575
C.T.in.ACG	0.00472544025718493	0.152537622904039	0.0250778936346146	0.0079374600469331	0.0129583934678671	0.00554983370707883	0.00641119513853029	0.0094959121344883	0.000878825822422921	0.000872019373411821
C.T.in.ACT	0.0166682471000833	0.016658757944184	0.00541696903808071	0.00281217141500854	0.00470931766497689	0.0290091873061284	0.0276435080704108	0.024577080207854	0.00283919360303946	0.000957117057656721
C.T.in.CCA	0.0162763669307686	0.0140401738533743	0.00576839661523408	0.00266216852948561	0.0134177902528966	0.00970849946543183	0.0379888817510372	0.0189834240965647	0.00444907185347538	0.0008194471877952
C.T.in.CCC	0.018541044862172	0.0160389242086869	0.00598736941306847	0.00216852550606823	0.00719010822221173	0.0118824655794456	0.082295195431929	0.00216782268064646	0.000940688502918768	0.00203565422166203
C.T.in.CCG	0.0138031558161312	0.0751700997298552	0.0132997951655122	0.00755477876292863	0.0176584517160479	0.00227102046702743	0.00440783500852425	0.00499308205026602	0.00358012604658247	0.0026842485329322
C.T.in.CCT	0.0208585500929563	0.0178283489568794	0.00744805476967047	0.0049120433398482	0.00637790198842743	0.0133971095026708	0.0670957120969704	0.00905482424306647	0.00181214579848366	0.00185457507696109
C.T.in.GCA	0.0139162372758959	0.0138534641754428	0.00562339537490083	0.00144205009327699	0.00845119941502663	0.00713653588625707	0.0109978410387568	0.0197592759437566	0.000831579730956949	0.00657087601714993
C.T.in.GCC	0.014120306702732	0.0172886586763862	0.00555364089766518	0.00403548484330514	0.0100665845858249	0.00874448690738929	0.0850413089101227	0.00519989402216903	0.000880041980527805	0.00170214147636064
C.T.in.GCG	0.00519363938608728	0.0937535050825055	0.0150545555608094	0.00505052374873216	0.017152091753875	0.001747820869337	0.0085896334638722	0.0185049478561357	0.000893953140725802	0.000906185862784565
C.T.in.GCT	0.0158227832781374	0.015830083793764	0.0061667080162292	0.00333155371270655	0.00687347141758453	0.00949711816678417	0.0316613736097063	0.00870316808126214	0.000966917578922146	0.0020515444651916
C.T.in.TCA	0.0195920389212526	0.0146963870959479	0.00451783240166436	0.00286494085098696	0.0128792400505672	0.00972370492980029	0.00890125117192169	0.0120390071000931	0.484829150529739	0.00810251206615402
C.T.in.TCC	0.0239096602914833	0.0180386101568224	0.00672139663976531	0.00261906826176384	0.00961644430125332	0.0109846097977712	0.0596331729301148	0.00243782756620371	0.0941458135368658	0.00467702377367806
